reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU13486	F132P20	0	17.5	29	16	0	23.5	0	37	0	43.5	0	0	0	43	3.5	58.5	40.5	152	0	12.5	9	63.5	0	26	0	17	0	59	16.5	63.5	0	7.5	0	90.5	18.5	95.5	0	58	0	40.5
PU13347	F132P01	14.5	65	143.5	247	387	593	481.5	1048.5	52	79.5	107	48	470	691.5	565.5	581	177	246	0	52	870	586	399.5	310.5	97	118	471.5	617.5	662.5	570	369	479.5	105.5	297	766.5	2534	339.5	1116.5	345	1184.5
PU13483	F131P31	76	177	135	251.5	301	671	382.5	1263.5	90.5	146.5	157.5	95.5	386	858	473	680	153	182.5	0	37.5	746	601	285	208.5	61	77.5	393	297.5	587.5	284	279	189.5	118.5	289.5	645	771.5	327.5	374	258.5	319.5
PU13344	F131P05	0	27.5	78.5	200	0	47.5	23.5	406	3	74	74.5	27.5	21	113.5	124	270.5	21.5	84	0	11.5	149	90.5	0	36.5	20	51.5	40.5	54.5	156	66	0	2.5	33.5	124.5	118.5	85	27.5	80.5	0	34
PU13194	F108P42	151	459.5	810	1159	215.5	591.5	240	830	346.5	487	452.5	359.5	399.5	948.5	461	651	695.5	670	123.5	256	565	622.5	190	239	573	424.5	407	225	685	358	224	106.5	374.5	563.5	619.5	786	423	312.5	212	225.5
PU13002	F108P26	19913.5	24006.5	35271.5	29323.5	347	712.5	414.5	1288	14798	11205.5	32512.5	20978	481.5	880.5	491	802	29391.5	19989.5	11412	12509	692.5	673	276.5	379.5	26736.5	19353.5	510	303.5	774.5	349.5	356.5	141.5	20041	18541.5	732	1022	447	547	243.5	375.5
PU13188	F107P27	0	79	111.5	207	31.5	117.5	68.5	300	35.5	76	100	45	69	253	142.5	152	151	190.5	0	24.5	245	319.5	15.5	89.5	55	84	76	145.5	171.5	149.5	7	62	88	171	156	404	79	215.5	25.5	149.5
PU12996	F106P91	97	407	416.5	634.5	198	596	233	1487.5	176	229.5	374	225	210	632.5	301.5	873.5	396	381.5	27.5	124	369	141	153	50	335.5	284.5	214	81	297	71.5	104	11.5	224.5	460.5	397.5	211.5	213.5	73.5	140	52
PU13182	F105P47	162.5	375	643.5	769	66	353	111.5	527	252	348.5	352.5	244.5	157.5	437.5	260.5	384	593.5	550.5	241	415.5	138.5	137.5	84.5	78	480	450.5	146	77	192	88.5	54	25	244.5	421	133.5	475	73	191	70	203
PU12990	F105P25	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.5	15	0	0	0	0	0	9.5	0	0	0	0	0	0
