reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU13482	F130P74	1347.5	1414.5	1179.5	1578.5	1261	3107.5	1037.5	3207.5	941.5	753	1580.5	942.5	1721	4830	2913.5	3309.5	1089	1054	1037.5	1202	4224	2992.5	1414.5	880.5	1565.5	925.5	1526	724.5	3317	895	2121	722.5	1297.5	1112	2291.5	3133.5	3565	3265	1847.5	1833
PU13343	F130P66	267	231.5	488	344	861	1476	722.5	1080.5	197	228	286	122	1040.5	2090	1830	878	293.5	406	190	366	2286	2172	908.5	693.5	390	158	942	227.5	1747	312.5	1141	236.5	242	658.5	1246	5552	1900.5	5800.5	1056	3562
PU13476	F129P29	41	111	350.5	291	924.5	1920	916	2324	29	114.5	285	164	1247.5	2606	1905.5	1774	75.5	186.5	13	87.5	2187	2184.5	997.5	913	99.5	70	1148	550	1536.5	547	1082.5	422	87.5	167	1254.5	1764.5	1868.5	1766	1096	1087.5
PU13337	F129P03	0	16	21	0	14	25	11	79.5	0	23.5	91.5	0	67.5	103	229	102	0	307.5	0	24.5	159.5	165.5	27	43.5	29.5	42.5	57.5	147.5	174.5	168.5	36.5	74.5	16	103	107.5	976.5	132.5	696	57.5	474
PU13470	F127P66	386	752	650	924.5	1895	4376	1752	6664	232.5	412	387	361	2505	5572	3552.5	5014	263	570.5	191	407	4664	3897	1943	1461.5	392	214.5	2433	1095	3223	985	2098.5	829	326	243.5	2596	1331	3952	1441	2321	753
PU13331	F127P48	260.5	368.5	474.5	460.5	1672.5	2650	1483.5	3433.5	189.5	233.5	283.5	188	1870.5	2953.5	2912	2398.5	223.5	556.5	187	311.5	3239.5	3677	1880	1931.5	261.5	249	1728.5	1480	2381.5	1472	1581	1214	283	499	1945.5	4777.5	2758.5	4786	1852	3091.5
PU13464	F126P04	751.5	967	1149.5	1248	3551	6860	2626	6494	493	753.5	911.5	711	4170.5	8304	5745.5	4937.5	690.5	989	561.5	944.5	7225.5	7264.5	3118.5	2969	831	527	4722.5	3375	5314.5	2996	4049.5	2944.5	808.5	1159	4242.5	8436.5	6979.5	9363	3413	5045
PU13325	F125P92	13.5	94	249.5	186.5	216.5	960	225	892	39	116	107.5	0	326	1061.5	526	581	57	232	2.5	85	678.5	800.5	223	259.5	75.5	61	376	258.5	475	264	192.5	166	69.5	97.5	352	49.5	688.5	102	246.5	14
PU13175	F103P07	0	19.5	3.5	0	9	82	0.5	139.5	0	13.5	0	0	67.5	156	173	144	17	109.5	0	15	72	152	4	37.5	0	23.5	39	94	133	199.5	1	63.5	0	80.5	34.5	129	85	196.5	7	70.5
PU12983	F102P81	524	625.5	714	675.5	5055	7548.5	5349.5	9121	407	523.5	502	403	5460	8353	8149.5	5207	515.5	862	406.5	842.5	11534	14906.5	5109	6699.5	486.5	494.5	6477.5	7865.5	3840	5139.5	4291	4739	533.5	705	6126	13336	9877	13542.5	5365	8676.5
PU13169	F101P80	0	0	0	0	0	0	0	0	0	0	50.5	0	0	0	0	5	0	1	0	0	0	0	0	0	0	5.5	0	2	0	13	0	0	0	9.5	0	0	0	0	0	0
PU12977	F101P70	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0.5	0	0	0	1.5	0	0	0	0	0	0	0	1	0	0	0	0	0	3.5	0	0	0	0	0	0
PU13163	F100P55	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	3.5	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0
PU12971	F100P40	0	0	0	0	0	0	0	0	0	0	56.5	0	0	0	0	5.5	0	23	0	0.5	0	0	0	0	0	0	0	3.5	0	0	0	3	0	17	0	0	0	0	0	0
PU13157	F098P91	20214	18009.5	24081.5	17397.5	379.5	553.5	314	757.5	13708	9228	27033.5	13427.5	533	754	886.5	625	15595	12098.5	16494.5	16285	1098.5	788	394	279	21608.5	13713	606	282	1013	460	516	179	24866.5	16846.5	484	2171.5	907.5	2436	422.5	1332
PU12965	F098P83	629	874.5	1084	999	3544.5	6598	3162.5	6848	441	590	681.5	535	4714.5	8535.5	6393	4971.5	494	968	391.5	663	8241.5	8223.5	3413	3155	835.5	632.5	4089.5	3560	6165.5	3783	3756	2957	658	871	4638.5	10352	6665	10048	3996.5	6364.5
PU12791	F051P02	479	418	512.5	380.5	5089.5	6728.5	5080.5	5381.5	286	294	418	236.5	6431	8842	9070.5	3603.5	238.5	769.5	283.5	598	13732.5	19064	5376	6685.5	455	505.5	5971	8904.5	7832.5	8766	5581.5	7661.5	397	353.5	6311	6142	12455	7635.5	6759.5	4212
PU12599	F050P78	379.5	1046	637	1245	831	715.5	588.5	6915	178.5	162	251	58	952	749	1315.5	4412.5	194	376	152.5	102.5	1607.5	149	840	60	232.5	69	768.5	75	1200	149	551.5	31.5	243	196.5	838	323	1396	277	903.5	154
PU12785	F049P92	5.5	58.5	174.5	154.5	20.5	90	0	230	0.5	82.5	92.5	0	56	131	215	138	74.5	258.5	25	85.5	136	88.5	20	29	98	95	77.5	42.5	115	82.5	9	7	52	155	22.5	869	143	1008	47	537
PU12593	F049P79	0	25	57.5	2.5	0	106	0	157	0	31.5	82.5	0	18.5	132.5	126.5	151	13	149	0	23	39	150.5	0	55.5	19	49	30.5	51.5	84.5	59.5	2.5	8	23.5	108.5	0	21	21.5	40.5	9	14
PU12779	F048P60	542	701.5	1393.5	1381	1284.5	1840.5	1334.5	2800.5	674	768.5	545.5	314.5	1331.5	1995	2018.5	1314.5	793	1047.5	422	643	2242.5	2409.5	1780.5	2169.5	690.5	712	1441	2675.5	1313	2135.5	1097.5	2057.5	476.5	947.5	1336	5094.5	2331.5	5586.5	1206	3560
PU12587	F048P41	18.5	46.5	102.5	130	0	9.5	0	8.5	11	56	164	0	0	9	0	28.5	123.5	178.5	0	125.5	0	20.5	0	3	56	59.5	0	23	25	76	0	0.5	124.5	147.5	0	17	0	33.5	0	1
PU12773	F046P68	72.5	123.5	356	206	0	23	0	59.5	83	121	299.5	112	0.5	54.5	59	100.5	97.5	228	57	123	33	50.5	0	2.5	135.5	116	0	56.5	44.5	90	0	5	280.5	293	0	93	30	105.5	0	61.5
PU12581	F046P49	58710	62542.5	65535	64964	396	775	337	1007.5	45876	39147.5	65535	52040.5	446	700.5	663.5	658.5	47578	48023	52216.5	54026	676	661	357.5	339.5	65535	52357.5	547	557	768.5	616	359	420.5	65535	60540.5	424	1344	664	1361	297	842.5
PU12407	F025P75	0	13.5	80	50.5	28.5	260	0	142	0	21	156.5	0	97	499	247.5	150	13.5	204	0	26	287.5	487.5	50	95	42	58.5	77.5	175	179	154	58	58.5	31.5	90.5	84	74	225	119.5	76	62.5
PU12215	F025P55	35040.5	36350.5	55431.5	42665.5	19714.5	32925	17896.5	39377	24295	20928	42408	25771.5	24263.5	44861	38165	32137	30319	28686.5	24077	29045.5	41939	47170	21561.5	20459	43453	27894	27466	22190.5	38033	25411	25200.5	20861	36589.5	30464	30413	28690.5	45073	26432	26588	16554
PU12401	F024P45	87.5	80.5	414.5	235	0	31.5	0	34	57.5	84.5	416.5	111.5	0	6.5	95.5	67.5	202	274.5	30.5	76.5	0	42	0	17.5	212.5	130.5	0	45.5	0	4.5	0	1.5	179.5	198.5	0	37	0	41	0	13.5
PU12209	F024P27	23583.5	21903	31399	21974	841.5	1388	691	1581.5	16166	11875	32584	16924	1111	1827.5	1623	1244	15622	15005.5	20492.5	20270	1934	1724.5	836	564.5	27958	17249.5	1014	1200.5	1547.5	1255.5	952	1002	24531	18871	1009	4317.5	1708.5	4358.5	951.5	2744
PU12395	F023P04	20.5	124	243	211.5	468.5	889.5	383.5	1174.5	4.5	72.5	201	10.5	572	1151	839.5	839	59.5	288	27.5	106.5	1008.5	1053.5	442.5	382.5	123.5	70	547.5	466.5	724	415.5	512.5	353.5	106	198	544	1364.5	846	1439	506.5	813
PU12203	F022P72	146.5	182	349.5	344	496	1178.5	417.5	1508.5	34	126.5	254	75.5	706	1309	930	906.5	123.5	275	18	168	1204.5	1564.5	551.5	582.5	197	116	715	630	790.5	594	543	490	141	170	643.5	960	1069.5	1029.5	612.5	591
PU12389	F022P20	511	594.5	901.5	789.5	2945	4644.5	2567	5091.5	353.5	493.5	648	390	3135.5	4985	4539.5	3268.5	493.5	707	350	615.5	6047.5	6444.5	2807.5	2624.5	672.5	588.5	3827	3512.5	4316	3227.5	2905.5	2679.5	655	834.5	3377.5	6886.5	5827.5	7820	2897.5	4351
PU12197	F022P12	40967	38154	50618.5	39259	2437	6128	1930.5	8415.5	27890	21917.5	50139.5	27463	2920	7256	4136	6529.5	33156.5	26896.5	31941.5	31866	4209	3956	2687	2222.5	45572.5	28615.5	3500	742.5	4111	873	2132	464	34643	28369	3531	3992.5	4625.5	3913.5	2646	2486
PU12027	F006P75	0	20	99.5	77.5	0	8.5	0	10	4.5	43	68	0	0	58.5	2	48	43	190	0	52	0	28.5	0	3.5	21.5	48.5	0	12	46	98.5	0	1.5	59.5	122.5	0	13	0	51	0	7.5
PU11849	F006P58	2093.5	2061.5	2422.5	1816	858	1559.5	821.5	596.5	1402.5	1058	2152.5	1207.5	991.5	1965.5	1547	408.5	1780	1627	1845	2342	1894.5	4212.5	947.5	1979.5	2185	1651.5	977.5	1656.5	871.5	1421.5	765	1131.5	1751.5	1389	1103.5	801	1821	836.5	814	416.5
PU12024	F005P22	10322.5	11184	12787	9985.5	921.5	1486	701	1604	7809.5	5709.5	11866.5	7136.5	865	1422	1352	1037.5	8914	7394	8808.5	9918	1584.5	1831	771	906	10716	7938.5	1054	1247	919.5	1066.5	879.5	968	8639	7483.5	974.5	2967.5	1607.5	3104.5	806.5	1789.5
PU11846	F005P10	514	466	826	640	1116	931.5	1066	745	493.5	382	835.5	452.5	980.5	871	1779.5	376.5	511	472	470	476.5	1796	790.5	1056	383.5	675	431	1388	133	1218.5	148.5	1003	64	880	1791	1108	9486.5	1790	9821.5	992	6781.5
PU12019	F004P09	615	815	987	997	3996	10044	3665.5	7208	381.5	574	711.5	762	5137	14889.5	9141.5	6278.5	518	992	369	897	11448.5	15850	4427.5	5244	789	346.5	5248.5	1618	8972	2151.5	5790.5	1697	528	408	6389	4499.5	9831	4437	5646	2690.5
PU11840	F003P90	2772.5	2852	4021.5	2707.5	34.5	218.5	28.5	295.5	1940	1289.5	3139	1897	145.5	362	324.5	291.5	2269	2097.5	2219	2726.5	303	427	90	112.5	3463	2188	116.5	176	273	257.5	53.5	128	2551.5	2011.5	140.5	336.5	242.5	241.5	86.5	124
PU12013	F003P10	432.5	457.5	923.5	570.5	0	83.5	0	124	375.5	264.5	699.5	299	46.5	205.5	141	91	418	439.5	283.5	382.5	123.5	129.5	0	30.5	663	385.5	30	52.5	83.5	36	11	3	636	458	38.5	119.5	108.5	152.5	10.5	61.5
PU11834	F002P79	39	79	265.5	166	117	344.5	77.5	377	47.5	76.5	221.5	136	171	548.5	346.5	265.5	84.5	459.5	12	86	291.5	347.5	84	98	143	94	176.5	152.5	226.5	166	104	60	114	176	157.5	401.5	272	411	90.5	198.5
PU11667	I076P80	2797.5	2926.5	4283	3207	831.5	1795	659.5	1759.5	2139.5	1730.5	2381.5	1435.5	1031.5	2170	1455.5	1286.5	2268	2693	2033.5	2447	1841.5	2061	802.5	747.5	3177.5	2141	960.5	810.5	1452	897.5	903	716.5	2281.5	1951.5	1150.5	2380	1445	2210.5	867	1335
PU11475	I076P66	3945.5	3931.5	5594	4044	0	10.5	0	22.5	3057	2462.5	2860.5	1541.5	0	13	26.5	49.5	3272.5	3200	2328.5	2975	2.5	43.5	0	13.5	3477	2394.5	0	35	42	89	0	10.5	2467	1951	0	37	0	51	0	10
PU11661	I076P23	39885	45608.5	64882.5	53366.5	0	17.5	0	43	33679	30028	49873	32180	0	20	82.5	70	36722	35471.5	28863	35738	3	48.5	0	11.5	45580.5	33254.5	20	67.5	49	103.5	0	17	31809	30511.5	0	39.5	0	97.5	0	35
PU11469	I076P14	31031	32335.5	45074.5	37809.5	619	1180.5	434	1627	22193	20493	37895.5	24611	694	1206	980.5	1152.5	27078	25565	20549	24161	1172	1217	575	477.5	35520	25513.5	911	924.5	781.5	834.5	477	586.5	23443.5	23048.5	755	528	1322	534.5	572.5	321.5
PU11655	I075P42	5258.5	5427.5	7295	5920	3054.5	2887	2744	3615	4108	3289.5	3920.5	2365.5	3382.5	3017	4362.5	2083	4869.5	4520.5	3383.5	4263.5	5619.5	4624.5	2909	2124	4947.5	4726	3994	11213.5	2731.5	8043	2991	8500	3233	2924	3727	4569.5	6245.5	4844.5	3124	2829.5
PU11463	I075P35	48083.5	52049	62895	58166.5	1773	3348	1478.5	2791	37033	32760.5	59796.5	38330	1773.5	3359	2683.5	1707.5	41249	38817.5	32141	38462	2650	2905.5	1724	1728	49035	37657	2183	1240	1679	1061.5	1679.5	960	41660.5	39844.5	1906.5	8560	2477.5	7703.5	1439.5	5350
PU11649	I074P39	43857	49625	60763.5	56939.5	0	21	0	21	35171.5	32170	61389	40002	5.5	26	18	32	36469.5	37913.5	30278.5	37677	12	53.5	0	14	50566	39306.5	19	86.5	49	135	0	8	43446	40315	0	92.5	9	137	0	46.5
PU11457	I074P30	1768	2498.5	3173.5	3128.5	1071	1173.5	1058.5	2196.5	1734	1781.5	1839	1088.5	1079	1231	1548.5	1253.5	2186	2319.5	1458	2136.5	1847	1669	1013	877	2179.5	1905	1489.5	1900.5	1337.5	1487	1046	1345	1874	1904.5	1078.5	2451.5	2165	2791.5	929.5	1636.5
PU11283	I063P89	7358.5	7101.5	8383	6492	128	295	95	510	5110.5	3838	7664	4185.5	253	575.5	500	463	6065	4950.5	5576.5	5949.5	610.5	568	141.5	117	9077.5	5504.5	203.5	138	437	248.5	242	116.5	4927	3713.5	266.5	1227.5	450.5	1227.5	228	694.5
PU11091	I063P79	4519	4797	7945	5182.5	0	35	0	83	3929	2978.5	3211	1833	0	68	116	103.5	4081	3959.5	3499.5	4304	47	101	0	23	4917	3056.5	22.5	54	53	41	2.5	30	2830	2398	0	62	35.5	119.5	0	57
PU11277	I063P02	6290.5	6483.5	10374	6998	248.5	648.5	180.5	1364	4955	3685.5	4673	2717.5	438	983	614	1112	5387	5086.5	4151	5419.5	740	460	189.5	91.5	6452.5	4145	361	130.5	479	132.5	282	90	3797	3058	383.5	445.5	644	435.5	294.5	201
PU11085	I062P76	3374	3802.5	7203.5	5212	0	13	0	28.5	3577	2781	3012	1751	0	0	44.5	42	3550	3931	2749.5	3653	0	74	0	14.5	4233	2932	0.5	85	0.5	38.5	0	6	2998.5	2473.5	0	108.5	0	108.5	0	66
PU11271	I062P16	2358	2812	4269	3275	275.5	634	203.5	451	2084	1728.5	2300	1365	377.5	871	606.5	377.5	2013	2717.5	1839.5	2441	649	1087.5	240.5	361	2932.5	2203.5	412	388.5	519	374	334	272.5	1940.5	1792	393	979.5	594.5	956.5	312	580
PU11079	I062P05	47739.5	46927	61000	54203	1332.5	2424.5	1068.5	2823	34566.5	30080.5	58750.5	34866	1500	2676	1977	1864	37920.5	36504	29988.5	34190	2707.5	2152.5	1249.5	873	45799.5	34025	1715	1326.5	1846	1271	1402.5	1117	39196.5	34491.5	1614	3837	2476	3871.5	1398	2312
PU11265	I060P58	4.5	17.5	20	0	0	0	0	5	0	37	212	116	0	0	14	12.5	25.5	73	0	27.5	0	0	0	0	20.5	36	0	7.5	0	0	0	12.5	21.5	112.5	0	4	0	0.5	0	0
PU11073	I060P42	4319	5860	8253	6591.5	618.5	1352	437	1390	4206.5	3819	3741	2555.5	651	1400.5	942	917.5	4326	4759	3463	4630.5	1139.5	1429.5	460	513	5100	3584.5	831	358.5	715	290.5	508	195	2887	2608.5	696.5	777.5	1281	935	510	486.5
PU10899	I047P01	8857.5	9745.5	13404.5	10734.5	109	220.5	124.5	484	7872.5	6582.5	5656	3339	103.5	311	304.5	251	7865	8063.5	5420.5	7322.5	209	287.5	105.5	121	7722.5	5465.5	117.5	166	73.5	179	19.5	69	4460	4377	77	400	228.5	378.5	94	262.5
PU10707	I046P79	7119.5	8100	12983.5	10181.5	910	2095	759	2099.5	7540.5	6373.5	5665	3744.5	1008.5	2146	1270	1216	7498	7069.5	4965.5	6505.5	1356.5	2036	877	1228	6589	4985	1004.5	1362.5	916	1135.5	814	1102	4568.5	4083	945	1680.5	1596.5	1742.5	804	1071.5
PU10893	I045P81	30978	33608	44669.5	38036	975	1610.5	646.5	1751.5	25405.5	22966.5	36418.5	22372	903	1540.5	1274.5	1135	25083.5	26636.5	21617	26167.5	1261	1425	711	634.5	30822	23818	1120.5	1229	973	935.5	971	858	27313	26609.5	916	2289	1514.5	2329	711	1310
PU10701	I045P65	3678	4692.5	5605.5	5289	0	8	0	57	3302	3343	2469	1632.5	0	8	33	42	3747	3997.5	2104.5	3409	0	27	0	3.5	3385.5	2468.5	0	40	0	50.5	0	1.5	2170.5	2213.5	0	22.5	0	53	0	25.5
PU10887	I044P80	6880	7349.5	6935	7798	0	22	0	31.5	5745.5	4999.5	5288	3242	0	183.5	107	65	6249.5	6052.5	4159	5856	21	60	0	4	6994.5	4798	4	36.5	6	19.5	0	1	3519.5	3478	0	32	1	56.5	0	20.5
PU10695	I044P74	5785.5	7306.5	11079	9103.5	1526.5	2533	1097	2496.5	5134.5	4949.5	4351.5	3310	2080	3540	2764	2188.5	5617	6513	3477.5	5791	3402	3424.5	1570.5	1267.5	6192	4064	2087	1285	3079	1520	1975	1228.5	3224	4415	1931.5	5364	2796	5002.5	1678.5	3087
PU10881	I043P55	7293	8482	13034.5	9857.5	100.5	131.5	70	390	6652.5	5874.5	4910	3113.5	138.5	119.5	450.5	364.5	6994	7438	4355	6621.5	304.5	116	102.5	25.5	6864.5	4934	200	74	217	30.5	132	38.5	3729	4052	298.5	1903	289	1334.5	227	1050.5
PU10689	I043P27	5735.5	6625	8870	6481.5	0	47	0	84	5085.5	4335	3882.5	2389.5	3.5	51	183.5	96	4596	5796	3535.5	5086.5	39.5	119	0	27	5333.5	3546.5	60.5	104.5	27	59.5	0	21	2895	2560	7	130	30	95.5	11	106
PU10515	I025P30	65302	64719.5	65535	65535	59.5	139	34	354.5	57044	44801	65535	57164.5	201	394	348	318	47331.5	50929	54680	56626.5	320	242.5	109.5	75.5	65535	55745.5	257	286	508	412	159.5	143	64733.5	52807.5	180.5	707	248.5	569	85	295.5
PU10323	I025P13	9586.5	9388.5	13528	9496	848.5	1238.5	771	1266	6851.5	5359.5	6443.5	4278.5	996.5	1338	1218.5	767.5	6508	6870.5	6195.5	7476.5	1773.5	1505.5	876	613.5	8127	5669.5	900.5	731	1180	760.5	816.5	579	4909	4589.5	1059.5	5822.5	1504.5	6312	1011	4027
PU10509	I024P31	39864	38181.5	49490	42107.5	1909	5181	1551.5	5153	25955	23020	51264.5	30698.5	2229	5977	3254	3325	27258	28933.5	29890.5	33430	4095.5	5874.5	1976	2776	41542	30770.5	2500.5	952.5	2968	941.5	1835.5	707.5	27154	26300	2369	9668	4102.5	10976	2100	6864.5
PU10317	I024P11	4549.5	4806	6754	5451.5	0	14.5	0	23	3657	3204	3621.5	2181	0	21	56	47.5	3843.5	4251.5	2795.5	3745.5	0	25	0	5	4726.5	3440	0	44	9	88	0	7.5	3079	2869.5	0	27.5	0	58	0	33.5
PU10503	I023P64	999	1122	1783	1499	0	6	57.5	22	772.5	794	1256.5	743	0	0	35	28	958.5	1124.5	736.5	1014.5	0	8.5	101	25	1590	1207	0	22.5	2.5	80.5	0	0.5	1106	1090.5	0	18	0	60	0	266
PU10311	I023P60	38778	35820.5	50887.5	37059	191	468.5	204.5	654.5	30607	20918	41680	24215.5	195	522.5	398.5	345	28275.5	24134	30117	29907.5	509	518	161	185.5	34465	26214	260.5	215.5	337.5	330	153.5	107.5	31705	27847	250.5	727.5	514.5	843.5	193.5	434.5
PU10497	I023P19	51558.5	54436.5	65476	58942	379.5	596.5	257	724	40994.5	34351	65535	43185.5	422	810.5	657	434.5	40111	40361.5	39473.5	44432.5	653	617	240	208.5	57024.5	42583.5	560.5	690	577.5	654	390	525	49077	44923	477.5	1700.5	746	1717.5	318.5	933.5
PU10305	I023P06	9064.5	10522	12881.5	11327	332.5	538	268	609.5	6854	6200.5	11254	7162	360	607.5	667.5	387	9266	8799	7537.5	8941.5	511	719	288	383.5	10574.5	8503.5	487.5	579.5	573.5	609.5	338.5	427.5	6717.5	6555.5	386	1360	663.5	1451.5	257.5	805
PU10131	I011P65	40641	39268.5	30442	35703	1462.5	2795.5	1092.5	3087	28742.5	22314.5	48477	27122.5	2003.5	4379	3029.5	2756	31073	27562.5	31984.5	33941.5	4478.5	3919.5	1421.5	1131	45416	30329.5	1978.5	1300	3559	1783.5	2160.5	1313.5	29941.5	26191	2169.5	6073	3398.5	6010.5	1859.5	3585
PU09939	I011P31	3270.5	3584	6956	4889	0	23	0	33.5	3052	2202.5	2592.5	1522	0	12.5	42.5	49.5	3243	3106	2530	3298	17	44.5	0	8.5	3809	2726	1	53	0	27	0	5.5	2371	2062.5	0	32	2.5	64	0	19.5
PU10125	I010P22	4366.5	5097.5	7257	5659.5	0	4	0	15.5	3672	2904.5	3022.5	1931	0	0	9	21.5	3822	3892.5	2970	4135.5	0	15.5	0	1	4450	3214.5	0	24	0	1	0	1	2666.5	2359.5	0	19.5	0	24	0	2
PU09933	I010P09	4864	5512	8675	6533.5	374.5	12.5	268	203.5	4142.5	3180	4386.5	2479.5	544.5	18.5	811	148.5	4892.5	4760	3405.5	4693	924.5	898	338	272	5182	4044.5	436	535.5	711	550.5	420	445	3325.5	3324.5	491	3834.5	770	3830	474.5	2562
PU10119	I009P12	31081	29294.5	38453	28440	822.5	1421.5	790	4946	18989.5	16208.5	35413	20023	1197	1956.5	1581	3256	21802	20590.5	21551	23695	2328.5	1419.5	874	476.5	31203	21197.5	1277	237	1756	272	1053.5	139.5	18832	15817	1237.5	855.5	2230.5	921	1026	472
PU09927	I008P95	27737.5	23180.5	37531	25794.5	121.5	407.5	92	754	19924.5	13999	36269.5	18937	205	541	384.5	528	19339	17225	21301.5	20813.5	389	176.5	127.5	45.5	28207	18476	216.5	158	398.5	234	167	81	23596.5	17733.5	207.5	1237.5	319.5	1182	171.5	756
PU10113	I007P81	3124.5	3289	4700.5	3913.5	0	9	0	10	2508	2321	2179	1233.5	0	14	11	32	3101.5	3118	2052	2979	0	8.5	0	2.5	3034.5	2240	0	33	12	34	0	1	1883.5	1750.5	0	25	0	44	0	13
PU09921	I007P70	61333	64889.5	65535	65535	525	975	492.5	1382.5	46736	41519	65535	51216	594	1150	964.5	912.5	53274	50570.5	39552.5	49617.5	1062	1011	484	455	65188.5	51535.5	816	489	694	588.5	483	328	53889.5	51891	739.5	1738	1144	2087	545	1054.5
PU09765	C092P21	228	224.5	485	391	166	352	129	600	242.5	209.5	240	5	240.5	476.5	449.5	509	210.5	344.5	104	162	295.5	279	157	147.5	286.5	158	171	169.5	363.5	410	94.5	139.5	248	304.5	136.5	403.5	471.5	586.5	96	205.5
PU09606	C091P96	772	1080.5	1215.5	1217.5	3637.5	7714.5	4138.5	10775	583	821	893.5	695.5	4072.5	9116	5430	5245.5	633	1013	510	864	7545.5	9680	3805	4363.5	743.5	400	4839.5	2091.5	3348.5	1758.5	2802	1477.5	774	773	4456.5	6963.5	9043	8385	3959	4311.5
PU09759	C091P03	226.5	240	565.5	467	41.5	199	35	284	229	212.5	299.5	96.5	62	245.5	333	282	338	346	110.5	171	102.5	155	54	71.5	333.5	241	78.5	103	269	271.5	18	61.5	363	394.5	79.5	381	283.5	492	31.5	165.5
PU09600	C090P92	502	710.5	1095	773	365.5	744.5	268	740.5	513	444	579.5	236	360	697.5	731	623	613.5	658.5	466.5	513.5	509.5	569.5	425.5	422.5	656	505.5	374	568.5	764	760.5	262.5	405	556.5	561.5	362	970.5	630.5	989	300	556
PU09753	C090P42	770	915	1006.5	1213	1619	2747.5	1426	3026	600	607	583	382.5	2386.5	4204.5	3804	2630.5	726	1045	483.5	869	4546	4797	2059.5	1832	879	506	2379.5	1626	3803	2048.5	2184	1488.5	527	1001.5	2195.5	6059.5	3138	5312.5	2241	3816
PU09594	C090P20	93.5	128.5	407.5	307.5	109	208.5	112.5	496	83.5	95	153.5	7	142.5	422.5	442	342.5	114.5	267	45.5	145	359.5	303	131.5	126.5	190.5	92	136.5	156.5	275.5	191.5	28.5	89.5	89.5	155.5	150	517	335.5	626.5	144	271.5
PU09747	C089P27	140	184.5	424	275.5	710	1184.5	601.5	1595	70.5	105.5	151.5	39	1079	1832	1589	1237.5	158.5	364	47.5	120.5	2063	1562.5	763.5	501	208	96.5	889	611.5	1461.5	683.5	673	537.5	181	334.5	963	3591	1757.5	3892.5	927	2177.5
PU09588	C088P30	359	521	719.5	609	1273.5	5054	994	2756.5	284	446	441.5	452.5	1659.5	7019.5	2414.5	1849	369.5	576.5	233.5	544.5	3258	4401	1209	1532.5	410.5	138.5	1496.5	187	2295.5	237.5	1298.5	100	297.5	168	1566.5	226.5	3118.5	280.5	1474.5	155.5
PU09430	C061P41	8780	8881	13171.5	8641.5	1531.5	1631.5	1275	1413.5	7395	5502.5	8531	4861.5	1893	1884.5	2657	990.5	7825	7208	6900.5	7632.5	2671	2318	1553.5	1149	9465.5	6556.5	1386.5	1562	1781	1757.5	1189	1230.5	6260.5	5393.5	1726.5	6802.5	2283.5	7096	1477	4337
PU09238	C061P26	18824.5	16144	21066	15663.5	2710	4453	2355.5	9435	11911	8681	24573	11850	3095.5	5208.5	4470	6173.5	12299.5	10668.5	14757.5	14014.5	5414.5	4307	2645.5	1987	20213.5	11818	3199	1573	4195.5	1915	2741	1218.5	17471.5	11644.5	3177.5	4619.5	5096	4781.5	3107	2830.5
PU09424	C060P21	22565.5	19711.5	26628.5	18602	3015	5721	2807.5	7078.5	14703.5	11154	26188.5	14058.5	3566.5	6692	5004	4516.5	17311.5	13989	11667.5	15529	6402	8000.5	2845	3101.5	22687.5	14127	4280	3455	4327.5	3079	3114.5	2663	18455	14111.5	3927.5	5049.5	6771.5	5695.5	3410	2981.5
PU09232	C060P11	754.5	984	1546	1414.5	700.5	1364	818.5	4107	668.5	747.5	598.5	322	800.5	1637.5	1258.5	2089	797.5	869	431.5	546	1418	1142.5	795	560.5	727.5	445.5	913.5	261.5	757	314	542.5	159.5	515.5	514.5	866	1496	1554	1578.5	788	861.5
PU09418	C058P42	5493.5	5017.5	7697.5	5703	1525	3112.5	1548	2517	4382.5	3211	6269.5	3572.5	1627	3363	2511	1531.5	4511	4257.5	4136.5	4761	2852.5	4235	1559.5	2078	5911.5	3715.5	1867	1854.5	1537.5	1621.5	1241.5	1379	4358	3547.5	1702.5	2183.5	3130.5	2541.5	1380	1383.5
PU09226	C058P36	36835.5	37589.5	54013	44129	4197.5	10402	4343.5	16496.5	30163.5	24900	47584.5	28776.5	4341.5	10610.5	5828	8292.5	30068	28263.5	24514	28507.5	7068	5937.5	4673	3406	40473	28134	5453	1491.5	3174.5	1108.5	3071	845.5	31310	29166	4491.5	5025.5	7907	5256	4360.5	3209.5
PU09412	C057P29	8689.5	8208.5	11607	9039	314.5	627	252	706.5	7167	5070.5	12459.5	6073.5	400.5	741	689.5	495.5	9004	6565.5	6984	7038	596	684	314.5	347.5	9634	6615	389.5	361	628	481.5	238	254.5	10584	8104	328.5	1064.5	768.5	1291	284.5	642
